time,package,uid,immediate,schedulingon
1527462256297,msnl.unist.smartpushscheduler,10310,0,0
1527462267321,msnl.unist.smartpushscheduler,10310,0,0
1527462267335,msnl.unist.smartpushscheduler,10310,0,0
1527462267360,msnl.unist.smartpushscheduler,10310,0,0
1527462267369,msnl.unist.smartpushscheduler,10310,0,0
1527462267373,msnl.unist.smartpushscheduler,10310,0,0
1527462268209,msnl.unist.smartpushscheduler,10310,0,0
1527462268241,msnl.unist.smartpushscheduler,10310,0,0
1527462278633,msnl.unist.smartpushscheduler,10310,0,0
1527462297419,msnl.unist.smartpushscheduler,10310,0,0
1527462297494,msnl.unist.smartpushscheduler,10310,0,0
1527462298068,msnl.unist.smartpushscheduler,10310,0,0
1527462298553,msnl.unist.smartpushscheduler,10310,0,0
1527462298568,msnl.unist.smartpushscheduler,10310,0,0
1527462301343,msnl.unist.smartpushscheduler,10310,0,0
1527462301391,msnl.unist.smartpushscheduler,10310,0,0
1527462301397,msnl.unist.smartpushscheduler,10310,0,0
1527462301403,msnl.unist.smartpushscheduler,10310,0,0
1527462301409,msnl.unist.smartpushscheduler,10310,0,0
1527462301416,msnl.unist.smartpushscheduler,10310,0,0
1527462301741,msnl.unist.smartpushscheduler,10310,0,0
